,video_name_8,video_gk_8, frame_count_8,video_name_16,video_gk_16, frame_count_16
355,HavatHabaron_D20210824_Pn2_SSummer_N00081_CtUrban_H080_LcDeepTwilight_Ds06000_LtNone_LfPlateaus_VrScrubs_StNatural_LdSideLight_B00_V10_Js00_P00_T25_MWIR_unknown-8bit,7174,1821,HavatHabaron_D20210824_Pn2_SSummer_N00081_CtUrban_H080_LcDeepTwilight_Ds06000_LtNone_LfPlateaus_VrScrubs_StNatural_LdSideLight_B00_V10_Js00_P00_T25_flir,2565,1805
356,Harel_D20211012_115149_SSummer_N00112_CtRustic_H000_LcQuarterMoon_Ds01800_LtNone_LfHills_VrGrassland_StStaged_LdSideLight_B00_V00_Js00_P09_T22_MWIR_unknown-8bit,6944,1847,Harel_D20211012_115149_SSummer_N00112_CtRustic_H000_LcQuarterMoon_Ds01800_LtNone_LfHills_VrGrassland_StStaged_LdSideLight_B00_V00_Js00_P09_T22_flir,2495,1906
357,AshdodWestHotelLiveQA_SbTreeRoad_D20220215_Pn0_SWinter_N00001_CtUrban_H030_LcSunlight_Ds01500_LtNone_LfPlateaus_VrNone_StNatural_LdTopLight_P00_V00_Mc00_B00_Js00_Dr00_T20_TsTrack_Set000_MWIR_unknown-8bit,6251,1852,AshdodWestHotelLiveQA_SbTreeRoad_D20220215_Pn0_SWinter_N00001_CtUrban_H030_LcSunlight_Ds01500_LtNone_LfPlateaus_VrNone_StNatural_LdTopLight_P00_V00_Mc00_B00_Js00_Dr00_T20_TsTrack_Set000,2087,2003
358,HavatHabaron_D20210825_Pn2_SSummer_N00031_CtRustic_H080_LcFullDaylight_Ds03000_LtNone_LfPlateaus_VrScrubs_StNatural_LdFrontLight_B00_V05_Js00_P00_T30_MWIR_unknown-8bit,7206,1875,HavatHabaron_D20210825_Pn2_SSummer_N00031_CtRustic_H080_LcFullDaylight_Ds03000_LtNone_LfPlateaus_VrScrubs_StNatural_LdFrontLight_B00_V05_Js00_P00_T30_flir,2597,1859
359,AshdodPort_D20210802_Pn2_SSummer_N00041_CtNone_H035_LcSunlight_Ds01000_LtCalm_LfSea_VrNone_StNatural_LdTopLight_B01_V00_Js00_P00_T28_MWIR_unknown-8bit,6361,1877,AshdodPort_D20210802_Pn2_SSummer_N00041_CtNone_H035_LcSunlight_Ds01000_LtCalm_LfSea_VrNone_StNatural_LdTopLight_B01_V00_Js00_P00_T28_flir,1972,1837
360,Harel_D20211012_115149_SSummer_N00074_CtRustic_H000_LcSunlight_Ds03000_LtNone_LfHills_VrGrassland_StStaged_LdSideLight_B00_V00_Js00_P09_T25_MWIR_unknown-8bit,6912,1902,Harel_D20211012_115149_SSummer_N00074_CtRustic_H000_LcSunlight_Ds03000_LtNone_LfHills_VrGrassland_StStaged_LdSideLight_B00_V00_Js00_P09_T25_flir,2467,1959
361,EinYahav_Sbdistant_D20211108_Pn2_SSummer_N00062_CtUninhabited_H010_LcQuarterMoon_Ds05300_LtNone_LfPlateaus_VrScrubs_StStaged_LdTopLight_P00_V01_Mc02_B00_Js00_Dr00_T25_TsTrack_Set000_MWIR_unknown-8bit,6503,1911,EinYahav_Sbdistant_D20211108_Pn2_SSummer_N00062_CtUninhabited_H010_LcQuarterMoon_Ds05300_LtNone_LfPlateaus_VrScrubs_StStaged_LdTopLight_P00_V01_Mc02_B00_Js00_Dr00_T25_TsTrack_Set000_flir,2219,1882
362,HavatHabaron_D20210825_Pn2_SSummer_N00017_CtUrban_H080_LcSunlight_Ds08000_LtNone_LfPlateaus_VrScrubs_StNatural_LdFrontLight_B00_V10_Js00_P00_T30_MWIR_unknown-8bit,7197,1917,HavatHabaron_D20210825_Pn2_SSummer_N00017_CtUrban_H080_LcSunlight_Ds08000_LtNone_LfPlateaus_VrScrubs_StNatural_LdFrontLight_B00_V10_Js00_P00_T30_flir,2588,1902
363,RitzCarltonHerzliya_D20210706_Pn8_SSummer_N00039_CtNone_H030_LcFullDaylight_Ds01000_LtNone_LfHills_VrNone_StStaged_LdSideLight_B00_V00_Js00_P00_T30_MWIR_unknown-8bit,7010,1919,RitzCarltonHerzliya_D20210706_Pn8_SSummer_N00039_CtNone_H030_LcFullDaylight_Ds01000_LtNone_LfHills_VrNone_StStaged_LdSideLight_B00_V00_Js00_P00_T30_flir,2715,1873
364,EinYahav_Sbbigtree_D20211108_Pn2_SSummer_N00071_CtUninhabited_H010_LcQuarterMoon_Ds02500_LtNone_LfPlateaus_VrScrubs_StStaged_LdTopLight_P00_V01_Mc02_B00_Js00_Dr00_T25_TsTrainVald_Set000_MWIR_unknown-8bit,6474,1937,EinYahav_Sbbigtree_D20211108_Pn2_SSummer_N00071_CtUninhabited_H010_LcQuarterMoon_Ds02500_LtNone_LfPlateaus_VrScrubs_StStaged_LdTopLight_P00_V01_Mc02_B00_Js00_Dr00_T25_TsTrainVald_Set000_flir,2199,1912
365,Harel_D20211012_115149_SSummer_N00021_CtRustic_H000_LcOvercastDay_Ds00900_LtNone_LfHills_VrGrassland_StStaged_LdTopLight_B00_V00_Js00_P09_T25_MWIR_unknown-8bit,6875,1959,Harel_D20211012_115149_SSummer_N00021_CtRustic_H000_LcOvercastDay_Ds00900_LtNone_LfHills_VrGrassland_StStaged_LdTopLight_B00_V00_Js00_P09_T25_flir,2440,2044
366,AshdodPort_D20210802_Pn2_SSummer_N00049_CtNone_H035_LcSunlight_Ds02000_LtCalm_LfSea_VrNone_StNatural_LdTopLight_B01_V00_Js00_P00_T28_MWIR_unknown-8bit,6369,1983,AshdodPort_D20210802_Pn2_SSummer_N00049_CtNone_H035_LcSunlight_Ds02000_LtCalm_LfSea_VrNone_StNatural_LdTopLight_B01_V00_Js00_P00_T28_flir,1980,1959
367,Harel_D20211012_115149_SSummer_N00011_CtRustic_H000_LcOvercastDay_Ds01800_LtNone_LfHills_VrGrassland_StStaged_LdTopLight_B00_V00_Js00_P09_T25_MWIR_unknown-8bit,6871,1984,Harel_D20211012_115149_SSummer_N00011_CtRustic_H000_LcOvercastDay_Ds01800_LtNone_LfHills_VrGrassland_StStaged_LdTopLight_B00_V00_Js00_P09_T25_flir,2436,2043
368,AshdodWestHotel_SbStagedSea_D20220215_Pn0_SWinter_N00021_CtUrban_H030_LcSunlight_Ds01500_LtWavelets_LfSea_VrNone_StMix_LdTopLight_P00_V00_Mc00_B01_Js01_Dr00_T20_TsNegative_Set000_MWIR_unknown-8bit,6218,1993,AshdodWestHotel_SbStagedSea_D20220215_Pn0_SWinter_N00021_CtUrban_H030_LcSunlight_Ds01500_LtWavelets_LfSea_VrNone_StMix_LdTopLight_P00_V00_Mc00_B01_Js01_Dr00_T20_TsNegative_Set000,2065,2063
369,HavatHabaron_D20210825_Pn2_SSummer_N00058_CtUrban_H080_LcFullDaylight_Ds02000_LtNone_LfPlateaus_VrScrubs_StMix_LdTopLight_B00_V02_Js00_P09_T30_MWIR_unknown-8bit,7232,1995,HavatHabaron_D20210825_Pn2_SSummer_N00058_CtUrban_H080_LcFullDaylight_Ds02000_LtNone_LfPlateaus_VrScrubs_StMix_LdTopLight_B00_V02_Js00_P09_T30_flir,2623,1955
370,RitzCarltonHerzliya_D20210706_Pn8_SSummer_N00018_CtUrban_H030_LcFullDaylight_Ds03000_LtWavelets_LfPlateaus_VrNone_StNatural_LdBackLight_B00_V00_Js00_P15_T30_MWIR_unknown-8bit,6982,2000,RitzCarltonHerzliya_D20210706_Pn8_SSummer_N00018_CtUrban_H030_LcFullDaylight_Ds03000_LtWavelets_LfPlateaus_VrNone_StNatural_LdBackLight_B00_V00_Js00_P15_T30_flir,2694,1976
